Product/Service Name,Variant Name,Quantity on hand,Item type,"Single,parent or variant?",Category,SKU,Taxable,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Option 4 name,Option 4 value,Option 5 name,Option 5 value,Price,Cost,Income Account,Expense Account,Inventory asset account,Sales Description,Purchase Description,Reorder Point
1Password,,0,Service,Single,PCW Integrates:Cloud Services,1P-0001,Yes,,,,,,,,,,,95.88,95.88,,,,1Password Business Account Member with Family account,1 Password,0
Advanced Certificate Manager,,0,Service,Single,PCW Integrates:Cloud Services,,Yes,,,,,,,,,,,,,,,,Cloudflare Advanced Certificate Manager,SAAS - CLOUDFLARE,0
Airbnb Suspense Account,,0,Service,Single,,,No,,,,,,,,,,,,,,,,,,0
Airbnb Tax Withholdings,,0,Service,Single,,,No,,,,,,,,,,,,,,,,,,0
Argo Plan (Prorated Remainder),,0,Service,Single,PCW Integrates:Cloud Services,,Yes,,,,,,,,,,,,,,,,Remaining time on Argo Plan after 07 May,SAAS - CLOUDFLARE,0
Argo Plan (Unused Time Credit),,0,Service,Single,PCW Integrates:Cloud Services,,Yes,,,,,,,,,,,,,,,,Unused time credit on Argo Plan after 07 May,SAAS - CLOUDFLARE,0
Argo Zone Level Plan – Basic,,0,Service,Single,PCW Integrates:Cloud Services,,Yes,,,,,,,,,,,,,,,,Cloudflare Argo Smart Routing – Basic,SAAS - CLOUDFLARE,0
Automation Monitoring & Support,,0,Service,Single,Service,DM-AUTO-SUP,Yes,,,,,,,,,,,0.0,0.0,,,,"Support & monitoring of custom automations, including updates and bug fixes.",PCW Integrates - Services,0
Baseboard Restoration,,0,Service,Single,Service,,No,,,,,,,,,,,0.0,0.0,,,,CUSTOM:Scrape and sand peeling paint areas near floorboards to remove loose debris. Spot-prime with bonding primer to prevent future peeling. Patch and smooth.,,0
Basic Load Balancing,,0,Service,Single,PCW Integrates:Cloud Services,,Yes,,,,,,,,,,,,,,,,Cloudflare Basic Load Balancing,SAAS - CLOUDFLARE,0
